SeriesCode,Year,DESCRIPTION
"SH.FPL.SATM.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SP.UWT.TFRT","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SP.DYN.WFRT","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SH.STA.ANV4.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SP.DYN.CONU.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SH.STA.ANVC.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SP.DYN.CONM.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SH.STA.BRTC.ZS","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SP.UWT.TFRT","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SH.FPL.SATM.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SP.REG.BRTH.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SP.DYN.WFRT","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SP.DYN.CONU.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SH.STA.ANV4.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SP.DYN.CONM.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SH.STA.ANVC.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SH.STA.BRTC.ZS","YR2000","Averages for regions/groups are based on country-level data around 2000."
"IC.FRM.FEMO.ZS","YR2002    ","The sample was drawn from the manufacturing sector only."
"IC.FRM.FEMO.ZS","YR2003    ","The sample was drawn from the manufacturing sector only."
"IC.FRM.FEMO.ZS","YR2004    ","The sample was drawn from the manufacturing sector only."
"IC.FRM.FEMO.ZS","YR2005    ","The sample was drawn from the manufacturing sector only."
"IC.FRM.FEMO.ZS","YR2006    ","The sample was drawn from the manufacturing sector only."
"IC.FRM.FEMO.ZS","YR2007    ","The sample was drawn from the manufacturing sector only."
"SH.STA.BRTC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SH.STA.ANVC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SP.DYN.CONM.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SH.STA.ANV4.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SP.DYN.CONU.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SH.MLR.IPTP.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SP.DYN.WFRT","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SP.REG.BRTH.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SH.FPL.SATM.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SP.UWT.TFRT","YR2010","Averages for regions/groups are based on country-level data around 2010."
"SH.FPL.SATM.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2016-)."
"SP.REG.BRTH.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SH.STA.ANVC.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SH.STA.BRTC.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SH.STA.ANV4.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SP.DYN.CONM.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SP.DYN.CONU.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SH.MLR.IPTP.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-)."
"SP.UWT.TFRT","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
"SH.PRG.SYPH.ZS","YR2020","Averages for regions/groups are based on most recent available country-level data (2017-)."
"SP.DYN.WFRT","YR2020","Averages for regions/groups are based on most recent available country-level data (2018-)."
